local_plan_position_x,local_plan_position_y,local_plan_orientation_z,local_plan_orientation_w,ID
-2.491665,-10.965615,0.000000,0.000000,117
-2.527388,-11.071285,0.000000,0.000000,117
-2.561770,-11.149389,0.000000,0.000000,117
-2.605317,-11.228910,0.000000,0.000000,117
-2.644671,-11.289805,0.000000,0.000000,117
-2.659901,-11.315086,0.000000,0.000000,117
-2.647597,-11.288261,0.000000,0.000000,117
-2.668785,-11.344534,0.000000,0.000000,117
-2.685887,-11.407583,0.000000,0.000000,117
-2.697198,-11.476273,0.000000,0.000000,117
-2.701366,-11.559779,0.000000,0.000000,117
-2.690803,-11.678084,0.000000,0.000000,117
-2.661922,-11.795121,0.000000,0.000000,117
-2.606292,-11.926674,0.000000,0.000000,117
-2.526388,-12.050664,0.000000,0.000000,117
-2.418410,-12.165836,0.000000,0.000000,117
-2.297275,-12.253686,0.000000,0.000000,117
-2.221785,-12.292833,0.000000,0.000000,117
-2.083743,-12.337958,0.000000,0.000000,117
-2.026227,-12.348070,0.000000,0.000000,117
-1.955038,-12.350686,0.000000,0.000000,117
-1.913599,-12.343580,0.000000,0.000000,117
-1.906641,-12.341186,0.000000,0.000000,117
-1.911464,-12.344211,0.000000,0.000000,117
-1.912711,-12.345459,0.000000,0.000000,117
-1.913985,-12.347028,0.000000,0.000000,117
-1.915092,-12.348740,0.000000,0.000000,117
-1.916125,-12.350538,0.000000,0.000000,117
-1.917155,-12.352619,0.000000,0.000000,117
-1.918245,-12.354992,0.000000,0.000000,117
-1.919493,-12.357443,0.000000,0.000000,117
-1.920966,-12.359862,0.000000,0.000000,117
-1.903369,-12.344325,0.000000,0.000000,117
-1.847882,-12.308143,0.000000,0.000000,117
-1.763526,-12.270762,0.000000,0.000000,117
-1.601993,-12.227953,0.000000,0.000000,117
-1.437951,-12.213996,0.000000,0.000000,117
-1.298844,-12.225597,0.000000,0.000000,117
-1.199652,-12.256156,0.000000,0.000000,117
-1.199718,-12.255537,0.000000,0.000000,117
-1.200441,-12.253937,0.000000,0.000000,117
-1.201349,-12.251638,0.000000,0.000000,117
-1.202354,-12.248046,0.000000,0.000000,117
-1.203063,-12.242962,0.000000,0.000000,117
-1.203136,-12.236384,0.000000,0.000000,117
-1.202897,-12.229255,0.000000,0.000000,117
-1.202508,-12.222155,0.000000,0.000000,117
-1.201569,-12.208603,0.000000,0.000000,117
-1.199832,-12.188996,0.000000,0.000000,117
-1.187340,-12.108967,0.000000,0.000000,117
-1.369331,-11.867027,0.000000,0.000000,117
-2.462103,-10.737064,0.000000,0.000000,120
-2.457619,-10.898961,0.000000,0.000000,120
-2.449927,-10.992483,0.000000,0.000000,120
-2.435383,-11.075655,0.000000,0.000000,120
-2.417553,-11.142049,0.000000,0.000000,120
-2.385847,-11.232874,0.000000,0.000000,120
-2.336370,-11.338473,0.000000,0.000000,120
-2.256010,-11.461166,0.000000,0.000000,120
-2.196414,-11.530946,0.000000,0.000000,120
-2.088563,-11.629354,0.000000,0.000000,120
-1.954801,-11.719683,0.000000,0.000000,120
-1.844539,-11.774361,0.000000,0.000000,120
-1.741504,-11.810420,0.000000,0.000000,120
-1.643496,-11.832918,0.000000,0.000000,120
-1.537379,-11.847755,0.000000,0.000000,120
-1.439116,-11.857413,0.000000,0.000000,120
-1.369331,-11.867027,0.000000,0.000000,120
-2.462103,-10.737064,0.000000,0.000000,121
-2.457619,-10.898961,0.000000,0.000000,121
-2.449927,-10.992483,0.000000,0.000000,121
-2.435383,-11.075655,0.000000,0.000000,121
-2.417553,-11.142049,0.000000,0.000000,121
-2.385847,-11.232874,0.000000,0.000000,121
-2.336370,-11.338473,0.000000,0.000000,121
-2.256010,-11.461166,0.000000,0.000000,121
-2.196414,-11.530946,0.000000,0.000000,121
-2.088563,-11.629354,0.000000,0.000000,121
-1.954801,-11.719683,0.000000,0.000000,121
-1.844539,-11.774361,0.000000,0.000000,121
-1.741504,-11.810420,0.000000,0.000000,121
-1.643496,-11.832918,0.000000,0.000000,121
-1.537379,-11.847755,0.000000,0.000000,121
-1.439116,-11.857413,0.000000,0.000000,121
-1.369331,-11.867027,0.000000,0.000000,121
-2.462103,-10.737064,0.000000,0.000000,124
-2.491665,-10.965615,0.000000,0.000000,124
-2.527388,-11.071285,0.000000,0.000000,124
-2.561770,-11.149389,0.000000,0.000000,124
-2.605317,-11.228910,0.000000,0.000000,124
-2.644671,-11.289805,0.000000,0.000000,124
-2.659901,-11.315086,0.000000,0.000000,124
-2.647597,-11.288261,0.000000,0.000000,124
-2.668785,-11.344534,0.000000,0.000000,124
-2.685887,-11.407583,0.000000,0.000000,124
-2.697198,-11.476273,0.000000,0.000000,124
-2.701366,-11.559779,0.000000,0.000000,124
-2.690803,-11.678084,0.000000,0.000000,124
-2.661922,-11.795121,0.000000,0.000000,124
-2.606292,-11.926674,0.000000,0.000000,124
-2.526388,-12.050664,0.000000,0.000000,124
-2.418410,-12.165836,0.000000,0.000000,124
-2.297275,-12.253686,0.000000,0.000000,124
-2.221785,-12.292833,0.000000,0.000000,124
-2.083743,-12.337958,0.000000,0.000000,124
-2.026227,-12.348070,0.000000,0.000000,124
-1.955038,-12.350686,0.000000,0.000000,124
-1.913599,-12.343580,0.000000,0.000000,124
-1.906641,-12.341186,0.000000,0.000000,124
-1.911464,-12.344211,0.000000,0.000000,124
-1.912711,-12.345459,0.000000,0.000000,124
-1.913985,-12.347028,0.000000,0.000000,124
-1.915092,-12.348740,0.000000,0.000000,124
-1.916125,-12.350538,0.000000,0.000000,124
-1.917155,-12.352619,0.000000,0.000000,124
-1.918245,-12.354992,0.000000,0.000000,124
-1.919493,-12.357443,0.000000,0.000000,124
-1.920966,-12.359862,0.000000,0.000000,124
-1.903369,-12.344325,0.000000,0.000000,124
-1.847882,-12.308143,0.000000,0.000000,124
-1.763526,-12.270762,0.000000,0.000000,124
-1.601993,-12.227953,0.000000,0.000000,124
-1.437951,-12.213996,0.000000,0.000000,124
-1.298844,-12.225597,0.000000,0.000000,124
-1.199652,-12.256156,0.000000,0.000000,124
-1.199718,-12.255537,0.000000,0.000000,124
-1.200441,-12.253937,0.000000,0.000000,124
-1.201349,-12.251638,0.000000,0.000000,124
-1.202354,-12.248046,0.000000,0.000000,124
-1.203063,-12.242962,0.000000,0.000000,124
-1.203136,-12.236384,0.000000,0.000000,124
-1.202897,-12.229255,0.000000,0.000000,124
-1.202508,-12.222155,0.000000,0.000000,124
-1.201569,-12.208603,0.000000,0.000000,124
-1.199832,-12.188996,0.000000,0.000000,124
-1.187340,-12.108967,0.000000,0.000000,124
-1.369331,-11.867027,0.000000,0.000000,124
-2.462103,-10.737064,0.000000,0.000000,125
-2.491665,-10.965615,0.000000,0.000000,125
-2.527388,-11.071285,0.000000,0.000000,125
-2.561770,-11.149389,0.000000,0.000000,125
-2.605317,-11.228910,0.000000,0.000000,125
-2.644671,-11.289805,0.000000,0.000000,125
-2.659901,-11.315086,0.000000,0.000000,125
-2.647597,-11.288261,0.000000,0.000000,125
-2.668785,-11.344534,0.000000,0.000000,125
-2.685887,-11.407583,0.000000,0.000000,125
-2.697198,-11.476273,0.000000,0.000000,125
-2.701366,-11.559779,0.000000,0.000000,125
-2.690803,-11.678084,0.000000,0.000000,125
-2.661922,-11.795121,0.000000,0.000000,125
-2.606292,-11.926674,0.000000,0.000000,125
-2.526388,-12.050664,0.000000,0.000000,125
-2.418410,-12.165836,0.000000,0.000000,125
-2.297275,-12.253686,0.000000,0.000000,125
-2.221785,-12.292833,0.000000,0.000000,125
-2.083743,-12.337958,0.000000,0.000000,125
-2.026227,-12.348070,0.000000,0.000000,125
-1.955038,-12.350686,0.000000,0.000000,125
-1.913599,-12.343580,0.000000,0.000000,125
-1.906641,-12.341186,0.000000,0.000000,125
-1.911464,-12.344211,0.000000,0.000000,125
-1.912711,-12.345459,0.000000,0.000000,125
-1.913985,-12.347028,0.000000,0.000000,125
-1.915092,-12.348740,0.000000,0.000000,125
-1.916125,-12.350538,0.000000,0.000000,125
-1.917155,-12.352619,0.000000,0.000000,125
-1.918245,-12.354992,0.000000,0.000000,125
-1.919493,-12.357443,0.000000,0.000000,125
-1.920966,-12.359862,0.000000,0.000000,125
-1.903369,-12.344325,0.000000,0.000000,125
-1.847882,-12.308143,0.000000,0.000000,125
-1.763526,-12.270762,0.000000,0.000000,125
-1.601993,-12.227953,0.000000,0.000000,125
-1.437951,-12.213996,0.000000,0.000000,125
-1.298844,-12.225597,0.000000,0.000000,125
-1.199652,-12.256156,0.000000,0.000000,125
-1.199718,-12.255537,0.000000,0.000000,125
-1.200441,-12.253937,0.000000,0.000000,125
-1.201349,-12.251638,0.000000,0.000000,125
-1.202354,-12.248046,0.000000,0.000000,125
-1.203063,-12.242962,0.000000,0.000000,125
-1.203136,-12.236384,0.000000,0.000000,125
-1.202897,-12.229255,0.000000,0.000000,125
-1.202508,-12.222155,0.000000,0.000000,125
-1.201569,-12.208603,0.000000,0.000000,125
-1.199832,-12.188996,0.000000,0.000000,125
-1.187340,-12.108967,0.000000,0.000000,125
-1.369331,-11.867027,0.000000,0.000000,125
